1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,HS6,HS6 ID
0.539792322,0.77904044,0.716723592,0.557813476,0.578676748,0.963702413,0.871871861,0.712096572,0.688006148,0.567168546,0.51580516,0.563342347,0.602530829,0.342812507,0.623818882,0.844712218,0.663923477,0.748696831,0.774057288,0.944274633,0.793362006,0.665151566,0.70615771,0.695908913,0.575583089,0.52484605,0.583526757,"Swine carcasses and half carcasses, fresh or chilled",20311
0.919885928,1.028005968,1.034886038,1.035817259,1.219059264,1.199768081,1.182332907,1.193293231,1.235269709,1.304895809,1.276005392,1.310877036,1.216058707,1.321910395,1.326586402,1.337936083,1.314360017,1.218529153,1.219035952,1.224468305,1.195656084,1.176473863,1.136112048,1.112439204,1.105700388,1.081837752,0.694078605,"Swine hams, shoulders & cuts bone in, fresh or chille",20312
0.942322325,0.948275033,1.053233109,1.05324968,1.059939296,0.785952921,0.941287875,0.753352517,1.134504116,1.085439097,1.386620105,1.335072373,1.212680537,1.240238307,1.253687431,1.241926135,1.226500149,1.193019304,1.041592183,1.08093462,1.021243664,1.07293628,1.052932501,1.015326385,1.003110958,0.973895695,0.933734307,"Swine cuts, fresh or chilled, nes",20319
,,,,,,,,,,,,,,,,,,,,,,,,,-0.007510753,0.012406365,"Swine carcasses and half carcasses, frozen",20321
,,,,,,,,,,,0.316860951,0.287109831,0.294019051,0.502011645,0.521521465,0.832421259,0.838435664,0.793949677,0.667262431,0.625962828,0.710883187,0.625865161,0.49117814,0.438645359,0.408148686,0.485118848,"Hams, shoulders and cuts, of swine, bone in, frozen",20322
0.291471207,0.620646423,0.525941591,0.40412905,0.444726866,0.310575823,0.370168875,0.494559403,0.901424547,0.670011539,0.849592001,0.8607871,0.861800148,0.844330584,0.794831052,0.714334387,0.820967318,0.812174689,0.747360183,0.74230922,0.567215624,0.559650805,0.749984732,0.437505119,0.467047323,0.46159246,0.444819272,"Swine cuts, frozen nes",20329
-0.243188402,0.050342151,-0.186090748,-0.109228451,-0.085190916,-0.739470106,,,,-0.850826553,-0.907128034,-0.978801726,-1.181047842,-1.176368558,-1.242464485,-0.828928656,-1.132852836,-1.028594128,-0.929721441,-1.069163553,-1.110361709,-1.27028155,-1.225564089,-1.238084591,-1.396941162,-1.184164221,-1.156238176,"Lamb carcasses and half carcasses, fresh or chilled",20410
,,,,,,,,,-0.270672116,0.294234361,0.174302014,-0.167536719,0.242498113,0.21165338,0.541686517,-0.136114548,-0.073902499,-0.383140226,-0.106467451,-0.420451697,-0.147572756,-1.027405171,-1.103804491,-1.43688811,-1.419745341,-1.562800619,"Sheep cuts, bone in, fresh or chilled",20422
,,,,,,,,,,,,,,,,,,,,,,0.445016768,0.352301431,0.302317583,-0.70856074,-0.815793077,"Sheep cuts, boneless, fresh or chilled",20423
-0.517830377,-0.554547274,-0.58457174,-0.642963927,-0.78747499,-0.885807102,-0.198128385,-0.351479841,-0.440109212,-0.826084957,-1.220608492,-1.361158162,-1.543027334,-0.777200397,-1.411464299,-1.602279736,-1.340640402,-1.172763622,-1.571102126,-1.656401135,-1.239612665,-1.181433834,-2.013091052,-1.943281367,-2.088349108,-2.058468262,-2.186268817,"Sheep cuts, bone in, frozen",20442
,,,,,,,,,-0.659580165,-0.654436983,-0.747318681,-0.697708904,-0.898955985,-0.634865594,-0.594640089,-0.668614434,-0.499271854,-0.429913211,-0.40368341,0.016408444,-0.179341136,-0.658068234,-0.882634693,-0.861769398,-0.725559857,-0.672889906,"Sheep cuts, boneless, frozen",20443
,,,,,,,,,,,,,-0.613471294,-0.601544786,-0.588228406,-0.228758579,-0.125545838,-0.011734068,-0.169154231,,,,,,,,"Horse, ass, mule, hinny meat, fresh, chilled or froze",20500
,,,,,,,,,,,,,-0.473718706,-0.327578665,-0.199691386,-0.466312735,-0.085625751,-0.023961984,-0.194023697,-0.421645275,-0.3563601,-0.549658451,-0.501852516,-0.408191893,-0.449334726,-0.611416714,"Bovine edible offal, fresh or chilled",20610
0.099413168,0.060214599,0.234113739,,,-0.481236388,-0.396705432,-0.893117033,-0.646650036,-0.76557276,-0.910311714,-0.962319793,-0.892771842,-0.890402396,-0.894389922,-0.889616916,-1.148786451,-0.953965687,-0.886191429,-0.808948983,-0.927599943,-0.872155422,-1.026166134,-1.048967066,-0.957460905,-0.943061364,-1.255212006,"Bovine edible offal, frozen except livers and tongues",20629
,,,,,,,,,,,,,,,,,,,,,,,,,,1.088797605,"Swine edible offal, fresh or chilled",20630
,,,,,,,0.625999351,0.64522886,0.736746685,0.745657479,0.74865346,0.669597008,0.489303448,0.504427681,0.597030332,0.688986273,0.80679552,0.805651119,0.729703978,0.745291625,0.724771078,0.654402279,0.578998089,0.613517222,0.646203926,0.657555942,"Swine edible offal, frozen except livers",20649
0.110194851,-0.025194164,0.295047511,0.400874595,0.204242647,0.191207644,0.689784519,,,0.285708516,0.379954021,0.316594349,0.538404191,0.3394876,0.266254814,0.224041335,-0.02651583,0.084916867,0.017931406,0.205786488,0.12370981,0.13247448,0.043049484,0.197595323,0.214955903,0.210005701,0.096190551,"Poultry, domestic, whole, fresh or chilled",20710
